"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","259"
"free state","Public Health","122"
"gauteng","Private Health","141"
"gauteng","Public Health","667"
"kwazulu-natal","Private Health","14"
"kwazulu-natal","Public Health","268"
"limpopo","Private Health","14"
"limpopo","Public Health","192"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","188"
"northern cape","Public Health","54"
"north west","Private Health","102"
"north west","Public Health","250"
"western cape","Private Health","14"
"western cape","Public Health","378"
