"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","1","0","1","2"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","4","0","0","4"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","5","0","4","9"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","3","0","0","3"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","7","0","4","11"
"Janssen Vaccines & Prevention B.V","north west","Adults","7","0","47","54"
"Janssen Vaccines & Prevention B.V","western cape","Adults","1","0","2","3"
"Pfizer","eastern cape","Adults","0","0","1","1"
"Pfizer","gauteng","12-17 Years","0","1","0","1"
"Pfizer","gauteng","Adults","0","3","2","5"
"Pfizer","kwazulu-natal","12-17 Years","2","0","0","2"
"Pfizer","kwazulu-natal","Adults","8","8","9","25"
"Pfizer","limpopo","12-17 Years","0","1","0","1"
"Pfizer","limpopo","Adults","14","1","2","17"
"Pfizer","mpumalanga","12-17 Years","0","1","0","1"
"Pfizer","mpumalanga","Adults","0","0","1","1"
"Pfizer","north west","12-17 Years","3","5","0","8"
"Pfizer","north west","Adults","8","47","45","100"
"Pfizer","western cape","Adults","0","1","1","2"
