"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","776"
"eastern cape","Public Health","6480"
"free state","Private Health","659"
"free state","Public Health","3727"
"gauteng","Private Health","5237"
"gauteng","Public Health","7103"
"kwazulu-natal","Private Health","1043"
"kwazulu-natal","Public Health","5391"
"limpopo","Private Health","832"
"limpopo","Public Health","6472"
"mpumalanga","Private Health","395"
"mpumalanga","Public Health","3598"
"northern cape","Private Health","171"
"northern cape","Public Health","822"
"north west","Private Health","738"
"north west","Public Health","2386"
"western cape","Private Health","2380"
"western cape","Public Health","2383"
