"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539326"
"free state","","6"
"kwazulu-natal","Private Health","1239184"
"western cape","Private Health","1925469"
"limpopo","Private Health","612928"
"northern cape","Public Health","620664"
"gauteng","Private Health","4594769"
"kwazulu-natal","Public Health","4712318"
"mpumalanga","","23"
"free state","Public Health","1883058"
"north west","Public Health","1812303"
"gauteng","Public Health","5919018"
"mpumalanga","Private Health","407038"
"mpumalanga","Public Health","1967437"
"western cape","","3"
"northern cape","Private Health","158547"
"eastern cape","Private Health","695858"
"western cape","Public Health","3717888"
"limpopo","Public Health","3201703"
"limpopo","","2"
"free state","Private Health","402896"
"eastern cape","Public Health","3639853"
