"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534372"
"kwazulu-natal","Private Health","1230261"
"western cape","Private Health","1911007"
"limpopo","Private Health","601579"
"northern cape","Public Health","603238"
"gauteng","Private Health","4544245"
"kwazulu-natal","Public Health","4608437"
"free state","Public Health","1844635"
"north west","Public Health","1775647"
"gauteng","Public Health","5790931"
"mpumalanga","Private Health","404372"
"mpumalanga","Public Health","1900575"
"northern cape","Private Health","156811"
"eastern cape","Private Health","689484"
"western cape","Public Health","3657203"
"limpopo","Public Health","3109018"
"free state","Private Health","397919"
"eastern cape","Public Health","3480480"
