"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","890841"
"Janssen Vaccines & Prevention B.V","free state","Adults","474712"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1482182"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1192687"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1051785"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","786058"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","209072"
"Janssen Vaccines & Prevention B.V","north west","Adults","696686"
"Janssen Vaccines & Prevention B.V","western cape","Adults","732094"
"Pfizer","eastern cape","12-17 Years","58379"
"Pfizer","eastern cape","Adults","1084574"
"Pfizer","free state","12-17 Years","61443"
"Pfizer","free state","Adults","569880"
"Pfizer","gauteng","12-17 Years","138759"
"Pfizer","gauteng","Adults","3286602"
"Pfizer","kwazulu-natal","12-17 Years","76380"
"Pfizer","kwazulu-natal","Adults","1571877"
"Pfizer","limpopo","12-17 Years","64859"
"Pfizer","limpopo","Adults","847460"
"Pfizer","mpumalanga","12-17 Years","31530"
"Pfizer","mpumalanga","Adults","450287"
"Pfizer","northern cape","12-17 Years","7685"
"Pfizer","northern cape","Adults","185719"
"Pfizer","north west","12-17 Years","40796"
"Pfizer","north west","Adults","521299"
"Pfizer","western cape","12-17 Years","48280"
"Pfizer","western cape","Adults","1826084"
