"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","512136"
"kwazulu-natal","Private Health","1185346"
"western cape","Private Health","1837624"
"limpopo","Private Health","570517"
"northern cape","Public Health","543637"
"gauteng","Private Health","4359329"
"kwazulu-natal","Public Health","4213186"
"free state","Public Health","1718271"
"north west","Public Health","1671365"
"gauteng","Public Health","5491899"
"mpumalanga","Private Health","383798"
"mpumalanga","Public Health","1719425"
"northern cape","Private Health","150159"
"eastern cape","Private Health","661421"
"western cape","Public Health","3536632"
"limpopo","Public Health","2874098"
"free state","Private Health","376644"
"eastern cape","Public Health","3193798"
