"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","28"
"eastern cape","Public Health","77"
"free state","Private Health","4"
"free state","Public Health","45"
"gauteng","Private Health","640"
"gauteng","Public Health","117"
"kwazulu-natal","Private Health","171"
"kwazulu-natal","Public Health","314"
"limpopo","Private Health","69"
"limpopo","Public Health","33"
"mpumalanga","Private Health","42"
"mpumalanga","Public Health","47"
"northern cape","Private Health","17"
"northern cape","Public Health","18"
"north west","Private Health","22"
"north west","Public Health","294"
"western cape","Private Health","192"
"western cape","Public Health","8"
