"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","16","0","17","33"
"Janssen Vaccines & Prevention B.V","free state","Adults","5","0","6","11"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","97","0","26","123"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","95","0","64","159"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","4","0","6","10"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","16","0","15","31"
"Janssen Vaccines & Prevention B.V","north west","Adults","18","0","122","140"
"Janssen Vaccines & Prevention B.V","western cape","Adults","11","0","13","24"
"Pfizer","eastern cape","12-17 Years","5","1","0","6"
"Pfizer","eastern cape","Adults","11","26","29","66"
"Pfizer","free state","12-17 Years","2","5","0","7"
"Pfizer","free state","Adults","8","5","18","31"
"Pfizer","gauteng","12-17 Years","26","37","0","63"
"Pfizer","gauteng","Adults","164","193","214","571"
"Pfizer","kwazulu-natal","12-17 Years","11","31","0","42"
"Pfizer","kwazulu-natal","Adults","83","88","113","284"
"Pfizer","limpopo","12-17 Years","7","9","0","16"
"Pfizer","limpopo","Adults","40","25","11","76"
"Pfizer","mpumalanga","12-17 Years","1","5","0","6"
"Pfizer","mpumalanga","Adults","17","12","23","52"
"Pfizer","northern cape","12-17 Years","2","3","0","5"
"Pfizer","northern cape","Adults","11","11","8","30"
"Pfizer","north west","12-17 Years","6","9","0","15"
"Pfizer","north west","Adults","32","69","60","161"
"Pfizer","western cape","12-17 Years","9","17","0","26"
"Pfizer","western cape","Adults","20","35","95","150"
