"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","119"
"eastern cape","Public Health","1628"
"free state","Private Health","33"
"free state","Public Health","1096"
"gauteng","Private Health","860"
"gauteng","Public Health","1480"
"kwazulu-natal","Private Health","139"
"kwazulu-natal","Public Health","2476"
"limpopo","Private Health","284"
"limpopo","Public Health","1644"
"mpumalanga","Private Health","343"
"mpumalanga","Public Health","2041"
"northern cape","Private Health","21"
"northern cape","Public Health","753"
"north west","Private Health","99"
"north west","Public Health","350"
"western cape","Private Health","256"
"western cape","Public Health","775"
