"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","24"
"eastern cape","Public Health","2073"
"free state","Private Health","20"
"free state","Public Health","282"
"gauteng","Private Health","284"
"gauteng","Public Health","1400"
"kwazulu-natal","Private Health","11"
"kwazulu-natal","Public Health","693"
"limpopo","Private Health","72"
"limpopo","Public Health","1448"
"mpumalanga","Public Health","729"
"northern cape","Private Health","1"
"northern cape","Public Health","134"
"north west","Private Health","28"
"north west","Public Health","391"
"western cape","Private Health","41"
"western cape","Public Health","552"
