"vaccine_rollout_phase","province","district","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Amathole DM","Private Health","Female","151","36","187"
"National","eastern cape","Amathole DM","Private Health","Male","92","18","110"
"National","eastern cape","Amathole DM","Public Health","Female","14503","5588","20091"
"National","eastern cape","Amathole DM","Public Health","Male","12453","4576","17029"
"National","eastern cape","A Nzo DM","Public Health","Female","32764","17524","50288"
"National","eastern cape","A Nzo DM","Public Health","Male","29086","13690","42776"
"National","eastern cape","Buffalo City MM","Private Health","Female","2794","1143","3937"
"National","eastern cape","Buffalo City MM","Private Health","Male","2282","880","3162"
"National","eastern cape","Buffalo City MM","Public Health","Female","16456","9531","25987"
"National","eastern cape","Buffalo City MM","Public Health","Male","13042","6720","19762"
"National","eastern cape","C Hani DM","Private Health","Female","219","106","325"
"National","eastern cape","C Hani DM","Private Health","Male","154","74","228"
"National","eastern cape","C Hani DM","Public Health","Female","13706","3595","17301"
"National","eastern cape","C Hani DM","Public Health","Male","11049","2626","13675"
"National","eastern cape","Joe Gqabi DM","Private Health","Female","647","360","1007"
"National","eastern cape","Joe Gqabi DM","Private Health","Male","487","215","702"
"National","eastern cape","Joe Gqabi DM","Public Health","Female","7797","2710","10507"
"National","eastern cape","Joe Gqabi DM","Public Health","Male","6960","2184","9144"
"National","eastern cape","N Mandela Bay MM","Private Health","Female","4012","2019","6031"
"National","eastern cape","N Mandela Bay MM","Private Health","Male","3643","1698","5341"
"National","eastern cape","N Mandela Bay MM","Public Health","Female","15766","6487","22253"
"National","eastern cape","N Mandela Bay MM","Public Health","Male","12274","4604","16878"
"National","eastern cape","O Tambo DM","Private Health","Female","305","117","422"
"National","eastern cape","O Tambo DM","Private Health","Male","243","111","354"
"National","eastern cape","O Tambo DM","Public Health","Female","43622","17069","60691"
"National","eastern cape","O Tambo DM","Public Health","Male","36712","12805","49517"
"National","eastern cape","Sarah Baartman DM","Private Health","Female","1554","1068","2622"
"National","eastern cape","Sarah Baartman DM","Private Health","Male","1347","807","2154"
"National","eastern cape","Sarah Baartman DM","Public Health","Female","9559","5351","14910"
"National","eastern cape","Sarah Baartman DM","Public Health","Male","8035","3994","12029"
"National","free state","Fezile Dabi DM","Private Health","Female","470","339","809"
"National","free state","Fezile Dabi DM","Private Health","Male","445","280","725"
"National","free state","Fezile Dabi DM","Public Health","Female","13085","5002","18087"
"National","free state","Fezile Dabi DM","Public Health","Male","10730","3633","14363"
"National","free state","Lejweleputswa DM","Private Health","Female","3713","1430","5143"
"National","free state","Lejweleputswa DM","Private Health","Male","2971","1080","4051"
"National","free state","Lejweleputswa DM","Public Health","Female","13956","5260","19216"
"National","free state","Lejweleputswa DM","Public Health","Male","11975","3719","15694"
"National","free state","Mangaung MM","Private Health","Female","2948","1928","4876"
"National","free state","Mangaung MM","Private Health","Male","2431","1477","3908"
"National","free state","Mangaung MM","Public Health","Female","23255","13805","37060"
"National","free state","Mangaung MM","Public Health","Male","20793","11165","31958"
"National","free state","T Mofutsanyana DM","Private Health","Female","1824","1110","2934"
"National","free state","T Mofutsanyana DM","Private Health","Male","1566","906","2472"
