"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538667"
"kwazulu-natal","Private Health","1238725"
"western cape","Private Health","1924836"
"limpopo","Private Health","612341"
"northern cape","Public Health","618640"
"gauteng","Private Health","4590636"
"kwazulu-natal","Public Health","4704153"
"mpumalanga","","23"
"free state","Public Health","1880286"
"north west","Public Health","1806594"
"gauteng","Public Health","5899784"
"mpumalanga","Private Health","407007"
"mpumalanga","Public Health","1961163"
"western cape","","3"
"northern cape","Private Health","158535"
"eastern cape","Private Health","695618"
"western cape","Public Health","3709350"
"limpopo","Public Health","3193587"
"limpopo","","2"
"free state","Private Health","402504"
"eastern cape","Public Health","3624622"
