"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10554","5118","15672"
"National","eastern cape","Private Health","Male","8898","3953","12851"
"National","eastern cape","Public Health","Female","144197","50676","194873"
"National","eastern cape","Public Health","Male","118214","35411","153625"
"National","free state","Private Health","Female","9204","4571","13775"
"National","free state","Private Health","Male","7538","3482","11020"
"National","free state","Public Health","Female","83994","39740","123734"
"National","free state","Public Health","Male","71773","29714","101487"
"National","gauteng","Private Health","Female","53868","30108","83976"
"National","gauteng","Private Health","Male","49453","25766","75219"
"National","gauteng","Public Health","Female","163741","65438","229179"
"National","gauteng","Public Health","Male","129328","47920","177248"
"National","kwazulu-natal","Private Health","Female","17284","9696","26980"
"National","kwazulu-natal","Private Health","Male","15615","8239","23854"
"National","kwazulu-natal","Public Health","Female","156083","63615","219698"
"National","kwazulu-natal","Public Health","Male","106298","38761","145059"
"National","limpopo","Private Health","Female","11834","5134","16968"
"National","limpopo","Private Health","Male","9217","3581","12798"
"National","limpopo","Public Health","Female","141231","47249","188480"
"National","limpopo","Public Health","Male","122665","35392","158057"
"National","mpumalanga","Private Health","Female","4040","1721","5761"
"National","mpumalanga","Private Health","Male","3526","1504","5030"
"National","mpumalanga","Public Health","Female","75470","25329","100799"
"National","mpumalanga","Public Health","Male","62707","17668","80375"
"National","northern cape","Private Health","Female","2147","1066","3213"
"National","northern cape","Private Health","Male","1975","805","2780"
"National","northern cape","Public Health","Female","17030","5554","22584"
"National","northern cape","Public Health","Male","13324","4081","17405"
"National","north west","Private Health","Female","5274","2443","7717"
"National","north west","Private Health","Male","4763","2042","6805"
"National","north west","Public Health","Female","79191","27862","107053"
"National","north west","Public Health","Male","65535","20098","85633"
"National","western cape","Private Health","Female","23675","12617","36292"
"National","western cape","Private Health","Male","21309","10916","32225"
"National","western cape","Public Health","Female","47243","15819","63062"
"National","western cape","Public Health","Male","39383","12933","52316"
