"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","913248"
"Janssen Vaccines & Prevention B.V","free state","Adults","485149"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1533153"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1232148"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1075302"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","818286"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","213966"
"Janssen Vaccines & Prevention B.V","north west","Adults","711024"
"Janssen Vaccines & Prevention B.V","western cape","Adults","747186"
"Pfizer","eastern cape","12-17 Years","95158"
"Pfizer","eastern cape","Adults","1116503"
"Pfizer","free state","12-17 Years","77507"
"Pfizer","free state","Adults","587320"
"Pfizer","gauteng","12-17 Years","169232"
"Pfizer","gauteng","Adults","3369073"
"Pfizer","kwazulu-natal","12-17 Years","120311"
"Pfizer","kwazulu-natal","Adults","1632916"
"Pfizer","limpopo","12-17 Years","91356"
"Pfizer","limpopo","Adults","871722"
"Pfizer","mpumalanga","12-17 Years","46222"
"Pfizer","mpumalanga","Adults","467044"
"Pfizer","northern cape","12-17 Years","11506"
"Pfizer","northern cape","Adults","191612"
"Pfizer","north west","12-17 Years","52445"
"Pfizer","north west","Adults","536081"
"Pfizer","western cape","12-17 Years","52285"
"Pfizer","western cape","Adults","1855128"
