"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","531713"
"kwazulu-natal","Private Health","1222437"
"western cape","Private Health","1899069"
"limpopo","Private Health","595728"
"northern cape","Public Health","586886"
"gauteng","Private Health","4510506"
"kwazulu-natal","Public Health","4541228"
"free state","Public Health","1822310"
"north west","Public Health","1761728"
"gauteng","Public Health","5750043"
"mpumalanga","Private Health","398367"
"mpumalanga","Public Health","1859779"
"northern cape","Private Health","155881"
"eastern cape","Private Health","684310"
"western cape","Public Health","3635615"
"limpopo","Public Health","3080981"
"free state","Private Health","394794"
"eastern cape","Public Health","3430251"
