"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","2"
"eastern cape","Public Health","41"
"gauteng","Private Health","114"
"gauteng","Public Health","203"
"kwazulu-natal","Private Health","33"
"kwazulu-natal","Public Health","556"
"limpopo","Private Health","17"
"limpopo","Public Health","70"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","58"
"northern cape","Private Health","1"
"north west","Public Health","549"
"western cape","Private Health","26"
"western cape","Public Health","4"
