"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535620"
"kwazulu-natal","Private Health","1233470"
"western cape","Private Health","1916081"
"limpopo","Private Health","605290"
"northern cape","Public Health","605708"
"gauteng","Private Health","4557656"
"kwazulu-natal","Public Health","4638752"
"free state","Public Health","1854224"
"north west","Public Health","1779937"
"gauteng","Public Health","5811434"
"mpumalanga","Private Health","405509"
"mpumalanga","Public Health","1914458"
"northern cape","Private Health","157529"
"eastern cape","Private Health","692312"
"western cape","Public Health","3669026"
"limpopo","Public Health","3125757"
"free state","Private Health","398999"
"eastern cape","Public Health","3512512"
