"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10311","5104","15415"
"National","eastern cape","Private Health","Male","8725","3967","12692"
"National","eastern cape","Public Health","Female","148141","58092","206233"
"National","eastern cape","Public Health","Male","122256","41978","164234"
"National","free state","Private Health","Female","9149","4606","13755"
"National","free state","Private Health","Male","7553","3552","11105"
"National","free state","Public Health","Female","83529","40796","124325"
"National","free state","Public Health","Male","71452","30699","102151"
"National","gauteng","Private Health","Female","53062","30239","83301"
"National","gauteng","Private Health","Male","48754","25975","74729"
"National","gauteng","Public Health","Female","161623","65851","227474"
"National","gauteng","Public Health","Male","127875","48458","176333"
"National","kwazulu-natal","Private Health","Female","16848","9576","26424"
"National","kwazulu-natal","Private Health","Male","15308","8212","23520"
"National","kwazulu-natal","Public Health","Female","157704","71163","228867"
"National","kwazulu-natal","Public Health","Male","107487","43126","150613"
"National","limpopo","Private Health","Female","11815","5259","17074"
"National","limpopo","Private Health","Male","9194","3666","12860"
"National","limpopo","Public Health","Female","144243","50242","194485"
"National","limpopo","Public Health","Male","124555","37506","162061"
"National","mpumalanga","Private Health","Female","3934","1706","5640"
"National","mpumalanga","Private Health","Male","3440","1523","4963"
"National","mpumalanga","Public Health","Female","77095","27616","104711"
"National","mpumalanga","Public Health","Male","63554","19103","82657"
"National","northern cape","Private Health","Female","2123","1045","3168"
"National","northern cape","Private Health","Male","1944","816","2760"
"National","northern cape","Public Health","Female","18137","7158","25295"
"National","northern cape","Public Health","Male","14236","5225","19461"
"National","north west","Private Health","Female","5162","2407","7569"
"National","north west","Private Health","Male","4666","2029","6695"
"National","north west","Public Health","Female","78148","27966","106114"
"National","north west","Public Health","Male","64796","20362","85158"
"National","western cape","Private Health","Female","23196","12662","35858"
"National","western cape","Private Health","Male","20995","10957","31952"
"National","western cape","Public Health","Female","48071","16374","64445"
"National","western cape","Public Health","Male","40172","13439","53611"
