"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918850"
"Janssen Vaccines & Prevention B.V","free state","Adults","487690"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1550194"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1247728"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1081235"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","831248"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216276"
"Janssen Vaccines & Prevention B.V","north west","Adults","714443"
"Janssen Vaccines & Prevention B.V","western cape","Adults","752151"
"Pfizer","eastern cape","12-17 Years","109141"
"Pfizer","eastern cape","Adults","1132648"
"Pfizer","free state","12-17 Years","79653"
"Pfizer","free state","Adults","595682"
"Pfizer","gauteng","12-17 Years","170523"
"Pfizer","gauteng","Adults","3398751"
"Pfizer","kwazulu-natal","12-17 Years","132077"
"Pfizer","kwazulu-natal","Adults","1657837"
"Pfizer","limpopo","12-17 Years","96673"
"Pfizer","limpopo","Adults","881194"
"Pfizer","mpumalanga","12-17 Years","49948"
"Pfizer","mpumalanga","Adults","476012"
"Pfizer","northern cape","12-17 Years","14244"
"Pfizer","northern cape","Adults","194495"
"Pfizer","north west","12-17 Years","52764"
"Pfizer","north west","Adults","540745"
"Pfizer","western cape","12-17 Years","53432"
"Pfizer","western cape","Adults","1866570"
