"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","534736"
"kwazulu-natal","Private Health","1231254"
"western cape","Private Health","1912224"
"limpopo","Private Health","602111"
"northern cape","Public Health","603623"
"gauteng","Private Health","4547682"
"kwazulu-natal","Public Health","4614942"
"free state","Public Health","1846420"
"north west","Public Health","1776591"
"gauteng","Public Health","5795110"
"mpumalanga","Private Health","404634"
"mpumalanga","Public Health","1903522"
"northern cape","Private Health","156912"
"eastern cape","Private Health","689912"
"western cape","Public Health","3659554"
"limpopo","Public Health","3112207"
"free state","Private Health","398224"
"eastern cape","Public Health","3486613"
