"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","917521"
"Janssen Vaccines & Prevention B.V","free state","Adults","487175"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1545936"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1244651"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1079503"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","829157"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","215979"
"Janssen Vaccines & Prevention B.V","north west","Adults","713613"
"Janssen Vaccines & Prevention B.V","western cape","Adults","750850"
"Pfizer","eastern cape","12-17 Years","102835"
"Pfizer","eastern cape","Adults","1128351"
"Pfizer","free state","12-17 Years","79246"
"Pfizer","free state","Adults","593596"
"Pfizer","gauteng","12-17 Years","170499"
"Pfizer","gauteng","Adults","3391291"
"Pfizer","kwazulu-natal","12-17 Years","128958"
"Pfizer","kwazulu-natal","Adults","1651589"
"Pfizer","limpopo","12-17 Years","94491"
"Pfizer","limpopo","Adults","878344"
"Pfizer","mpumalanga","12-17 Years","48510"
"Pfizer","mpumalanga","Adults","474263"
"Pfizer","northern cape","12-17 Years","13764"
"Pfizer","northern cape","Adults","194049"
"Pfizer","north west","12-17 Years","52802"
"Pfizer","north west","Adults","539736"
"Pfizer","western cape","12-17 Years","52887"
"Pfizer","western cape","Adults","1863897"
