"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","375"
"eastern cape","Public Health","5888"
"free state","Private Health","350"
"free state","Public Health","2309"
"gauteng","Private Health","2582"
"gauteng","Public Health","5658"
"kwazulu-natal","Private Health","678"
"kwazulu-natal","Public Health","5028"
"limpopo","Private Health","471"
"limpopo","Public Health","5522"
"mpumalanga","Private Health","268"
"mpumalanga","Public Health","3674"
"northern cape","Private Health","105"
"northern cape","Public Health","1098"
"north west","Private Health","319"
"north west","Public Health","1687"
"western cape","Private Health","1142"
"western cape","Public Health","1600"
