"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","46"
"Janssen Vaccines & Prevention B.V","free state","Adults","14"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","350"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","114"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","87"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","106"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","39"
"Janssen Vaccines & Prevention B.V","north west","Adults","53"
"Janssen Vaccines & Prevention B.V","western cape","Adults","69"
"Pfizer","eastern cape","12-17 Years","70"
"Pfizer","eastern cape","Adults","67"
"Pfizer","free state","12-17 Years","42"
"Pfizer","free state","Adults","57"
"Pfizer","gauteng","12-17 Years","74"
"Pfizer","gauteng","Adults","283"
"Pfizer","kwazulu-natal","12-17 Years","21"
"Pfizer","kwazulu-natal","Adults","141"
"Pfizer","limpopo","12-17 Years","118"
"Pfizer","limpopo","Adults","65"
"Pfizer","mpumalanga","12-17 Years","151"
"Pfizer","mpumalanga","Adults","84"
"Pfizer","northern cape","12-17 Years","8"
"Pfizer","northern cape","Adults","22"
"Pfizer","north west","12-17 Years","18"
"Pfizer","north west","Adults","56"
"Pfizer","western cape","12-17 Years","28"
"Pfizer","western cape","Adults","56"
