"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","23"
"eastern cape","Public Health","430"
"free state","Private Health","36"
"free state","Public Health","241"
"gauteng","Private Health","309"
"gauteng","Public Health","1197"
"kwazulu-natal","Private Health","9"
"kwazulu-natal","Public Health","678"
"limpopo","Private Health","57"
"limpopo","Public Health","764"
"mpumalanga","Private Health","5"
"mpumalanga","Public Health","662"
"northern cape","Private Health","9"
"northern cape","Public Health","233"
"north west","Private Health","41"
"north west","Public Health","279"
"western cape","Private Health","29"
"western cape","Public Health","285"
