"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535015"
"kwazulu-natal","Private Health","1232119"
"western cape","Private Health","1913238"
"limpopo","Private Health","603089"
"northern cape","Public Health","604269"
"gauteng","Private Health","4551179"
"kwazulu-natal","Public Health","4622370"
"free state","Public Health","1848731"
"north west","Public Health","1777594"
"gauteng","Public Health","5800156"
"mpumalanga","Private Health","404872"
"mpumalanga","Public Health","1906769"
"northern cape","Private Health","157062"
"eastern cape","Private Health","690453"
"western cape","Public Health","3662154"
"limpopo","Public Health","3115865"
"free state","Private Health","398469"
"eastern cape","Public Health","3494632"
