"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","118"
"eastern cape","Public Health","1859"
"free state","Private Health","99"
"free state","Public Health","1074"
"gauteng","Private Health","1031"
"gauteng","Public Health","1531"
"kwazulu-natal","Private Health","320"
"kwazulu-natal","Public Health","1656"
"limpopo","Private Health","187"
"limpopo","Public Health","966"
"mpumalanga","Private Health","258"
"mpumalanga","Public Health","1520"
"northern cape","Private Health","24"
"northern cape","Public Health","747"
"north west","Private Health","99"
"north west","Public Health","686"
"western cape","Private Health","453"
"western cape","Public Health","744"
