"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537940"
"kwazulu-natal","Private Health","1237908"
"western cape","Private Health","1923835"
"limpopo","Private Health","610929"
"northern cape","Public Health","612821"
"gauteng","Private Health","4582625"
"kwazulu-natal","Public Health","4684002"
"mpumalanga","","19"
"free state","Public Health","1873037"
"north west","Public Health","1794133"
"gauteng","Public Health","5864480"
"mpumalanga","Private Health","406844"
"mpumalanga","Public Health","1945511"
"western cape","","2"
"northern cape","Private Health","158336"
"eastern cape","Private Health","695138"
"western cape","Public Health","3694617"
"limpopo","Public Health","3168472"
"free state","Private Health","401669"
"eastern cape","Public Health","3583413"
