"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","373"
"eastern cape","Public Health","2475"
"free state","Private Health","279"
"free state","Public Health","1500"
"gauteng","Private Health","2902"
"gauteng","Public Health","3418"
"kwazulu-natal","Private Health","634"
"kwazulu-natal","Public Health","3112"
"limpopo","Private Health","371"
"limpopo","Public Health","3436"
"mpumalanga","Private Health","296"
"mpumalanga","Public Health","1929"
"northern cape","Private Health","72"
"northern cape","Public Health","658"
"north west","Private Health","282"
"north west","Public Health","783"
"western cape","Private Health","1300"
"western cape","Public Health","1867"
