"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","533571"
"kwazulu-natal","Private Health","1227936"
"western cape","Private Health","1908248"
"limpopo","Private Health","599327"
"northern cape","Public Health","598585"
"gauteng","Private Health","4533767"
"kwazulu-natal","Public Health","4584290"
"free state","Public Health","1837210"
"north west","Public Health","1772028"
"gauteng","Public Health","5778596"
"mpumalanga","Private Health","402444"
"mpumalanga","Public Health","1886158"
"north west","","1"
"northern cape","Private Health","156523"
"eastern cape","Private Health","687815"
"western cape","Public Health","3650547"
"limpopo","Public Health","3096941"
"free state","Private Health","396473"
"eastern cape","Public Health","3462168"
