"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","11"
"eastern cape","Public Health","1583"
"free state","Private Health","46"
"free state","Public Health","175"
"gauteng","Private Health","225"
"gauteng","Public Health","1416"
"kwazulu-natal","Private Health","29"
"kwazulu-natal","Public Health","588"
"limpopo","Private Health","19"
"limpopo","Public Health","743"
"mpumalanga","Private Health","3"
"mpumalanga","Public Health","474"
"northern cape","Private Health","9"
"northern cape","Public Health","234"
"north west","Private Health","31"
"north west","Public Health","437"
"western cape","Private Health","14"
"western cape","Public Health","458"
