"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","333"
"eastern cape","Public Health","4419"
"free state","Private Health","303"
"free state","Public Health","1726"
"gauteng","Private Health","2230"
"gauteng","Public Health","4541"
"kwazulu-natal","Private Health","574"
"kwazulu-natal","Public Health","4523"
"limpopo","Private Health","304"
"limpopo","Public Health","4624"
"mpumalanga","Private Health","275"
"mpumalanga","Public Health","3039"
"northern cape","Private Health","78"
"northern cape","Public Health","901"
"north west","Private Health","234"
"north west","Public Health","1508"
"western cape","Private Health","931"
"western cape","Public Health","1108"
