"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","539022"
"free state","","6"
"kwazulu-natal","Private Health","1239083"
"western cape","Private Health","1925272"
"limpopo","Private Health","612791"
"northern cape","Public Health","620228"
"gauteng","Private Health","4593086"
"kwazulu-natal","Public Health","4709810"
"mpumalanga","","23"
"free state","Public Health","1882322"
"north west","Public Health","1810500"
"gauteng","Public Health","5913269"
"mpumalanga","Private Health","407021"
"mpumalanga","Public Health","1965635"
"western cape","","3"
"northern cape","Private Health","158542"
"eastern cape","Private Health","695773"
"western cape","Public Health","3714959"
"limpopo","Public Health","3199975"
"limpopo","","2"
"free state","Private Health","402886"
"eastern cape","Public Health","3637024"
