"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","510636"
"kwazulu-natal","Private Health","1182672"
"western cape","Private Health","1832627"
"limpopo","Private Health","568703"
"northern cape","Public Health","541784"
"gauteng","Private Health","4347791"
"kwazulu-natal","Public Health","4196240"
"free state","Public Health","1710064"
"north west","Public Health","1664268"
"gauteng","Public Health","5473800"
"mpumalanga","Private Health","382946"
"mpumalanga","Public Health","1711336"
"northern cape","Private Health","149664"
"eastern cape","Private Health","659764"
"western cape","Public Health","3530431"
"limpopo","Public Health","2860237"
"free state","Private Health","375107"
"eastern cape","Public Health","3179469"
