"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10694","4812","15506"
"National","eastern cape","Private Health","Male","8887","3660","12547"
"National","eastern cape","Public Health","Female","121184","28507","149691"
"National","eastern cape","Public Health","Male","97105","18815","115920"
"National","free state","Private Health","Female","8860","3895","12755"
"National","free state","Private Health","Male","7232","2966","10198"
"National","free state","Public Health","Female","77374","30747","108121"
"National","free state","Public Health","Male","65524","22331","87855"
"National","gauteng","Private Health","Female","54209","28296","82505"
"National","gauteng","Private Health","Male","49167","23886","73053"
"National","gauteng","Public Health","Female","146968","48437","195405"
"National","gauteng","Public Health","Male","115964","35687","151651"
"National","kwazulu-natal","Private Health","Female","17495","9280","26775"
"National","kwazulu-natal","Private Health","Male","15755","7820","23575"
"National","kwazulu-natal","Public Health","Female","121974","35287","157261"
"National","kwazulu-natal","Public Health","Male","82834","21449","104283"
"National","limpopo","Private Health","Female","10669","4444","15113"
"National","limpopo","Private Health","Male","8400","3181","11581"
"National","limpopo","Public Health","Female","114403","31735","146138"
"National","limpopo","Public Health","Male","96037","23963","120000"
"National","mpumalanga","Private Health","Female","4050","1594","5644"
"National","mpumalanga","Private Health","Male","3519","1368","4887"
"National","mpumalanga","Public Health","Female","64312","16099","80411"
"National","mpumalanga","Public Health","Male","54153","11658","65811"
"National","northern cape","Private Health","Female","2143","985","3128"
"National","northern cape","Private Health","Male","1932","720","2652"
"National","northern cape","Public Health","Female","11594","3362","14956"
"National","northern cape","Public Health","Male","9261","2512","11773"
"National","north west","Private Health","Female","5239","2289","7528"
"National","north west","Private Health","Male","4726","1928","6654"
"National","north west","Public Health","Female","72746","20843","93589"
"National","north west","Public Health","Male","60196","14948","75144"
"National","western cape","Private Health","Female","23674","11602","35276"
"National","western cape","Private Health","Male","21084","9873","30957"
"National","western cape","Public Health","Female","46628","14725","61353"
"National","western cape","Public Health","Male","38615","11978","50593"
