"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918486"
"Janssen Vaccines & Prevention B.V","free state","Adults","487516"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1549016"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1247079"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1080790"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","830618"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216182"
"Janssen Vaccines & Prevention B.V","north west","Adults","714207"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751730"
"Pfizer","eastern cape","12-17 Years","107797"
"Pfizer","eastern cape","Adults","1131587"
"Pfizer","free state","12-17 Years","79622"
"Pfizer","free state","Adults","595086"
"Pfizer","gauteng","12-17 Years","170592"
"Pfizer","gauteng","Adults","3396632"
"Pfizer","kwazulu-natal","12-17 Years","131568"
"Pfizer","kwazulu-natal","Adults","1656335"
"Pfizer","limpopo","12-17 Years","96227"
"Pfizer","limpopo","Adults","880561"
"Pfizer","mpumalanga","12-17 Years","49505"
"Pfizer","mpumalanga","Adults","475506"
"Pfizer","northern cape","12-17 Years","14171"
"Pfizer","northern cape","Adults","194390"
"Pfizer","north west","12-17 Years","52829"
"Pfizer","north west","Adults","540448"
"Pfizer","western cape","12-17 Years","53283"
"Pfizer","western cape","Adults","1865697"
