"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535375"
"kwazulu-natal","Private Health","1232965"
"western cape","Private Health","1914759"
"limpopo","Private Health","604621"
"northern cape","Public Health","605209"
"gauteng","Private Health","4554984"
"kwazulu-natal","Public Health","4633578"
"free state","Public Health","1852217"
"north west","Public Health","1779058"
"gauteng","Public Health","5806913"
"mpumalanga","Private Health","405227"
"mpumalanga","Public Health","1911402"
"northern cape","Private Health","157408"
"eastern cape","Private Health","691268"
"western cape","Public Health","3666607"
"limpopo","Public Health","3122792"
"free state","Private Health","398749"
"eastern cape","Public Health","3506718"
