"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","704","0","1055","1759"
"Janssen Vaccines & Prevention B.V","free state","Adults","435","0","658","1093"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1359","0","1065","2424"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","687","0","770","1457"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","825","0","1541","2366"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","907","0","733","1640"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","100","0","246","346"
"Janssen Vaccines & Prevention B.V","north west","Adults","413","0","650","1063"
"Janssen Vaccines & Prevention B.V","western cape","Adults","342","0","414","756"
"Pfizer","eastern cape","12-17 Years","1693","1984","0","3677"
"Pfizer","eastern cape","Adults","415","702","1283","2400"
"Pfizer","free state","12-17 Years","736","789","0","1525"
"Pfizer","free state","Adults","326","497","1107","1930"
"Pfizer","gauteng","12-17 Years","903","1431","0","2334"
"Pfizer","gauteng","Adults","1808","2460","4314","8582"
"Pfizer","kwazulu-natal","12-17 Years","933","1083","0","2016"
"Pfizer","kwazulu-natal","Adults","841","1072","1416","3329"
"Pfizer","limpopo","12-17 Years","1173","811","0","1984"
"Pfizer","limpopo","Adults","521","724","1868","3113"
"Pfizer","mpumalanga","12-17 Years","960","456","0","1416"
"Pfizer","mpumalanga","Adults","327","364","734","1425"
"Pfizer","northern cape","12-17 Years","132","30","0","162"
"Pfizer","northern cape","Adults","148","128","268","544"
"Pfizer","north west","12-17 Years","275","478","0","753"
"Pfizer","north west","Adults","328","645","735","1708"
"Pfizer","western cape","12-17 Years","76","108","0","184"
"Pfizer","western cape","Adults","567","824","2750","4141"
