"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","750"
"eastern cape","Public Health","7086"
"free state","Private Health","639"
"free state","Public Health","3909"
"gauteng","Private Health","5646"
"gauteng","Public Health","7694"
"kwazulu-natal","Private Health","1211"
"kwazulu-natal","Public Health","5591"
"limpopo","Private Health","992"
"limpopo","Public Health","6471"
"mpumalanga","Private Health","432"
"mpumalanga","Public Health","4049"
"northern cape","Private Health","240"
"northern cape","Public Health","812"
"north west","Private Health","955"
"north west","Public Health","2569"
"western cape","Private Health","2329"
"western cape","Public Health","2752"
