"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535391"
"kwazulu-natal","Private Health","1233007"
"western cape","Private Health","1914842"
"limpopo","Private Health","604662"
"northern cape","Public Health","605209"
"gauteng","Private Health","4555311"
"kwazulu-natal","Public Health","4633748"
"free state","Public Health","1852221"
"north west","Public Health","1779170"
"gauteng","Public Health","5807099"
"mpumalanga","Private Health","405237"
"mpumalanga","Public Health","1911485"
"northern cape","Private Health","157435"
"eastern cape","Private Health","691347"
"western cape","Public Health","3666634"
"limpopo","Public Health","3122803"
"free state","Private Health","398753"
"eastern cape","Public Health","3506760"
