"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10321","5060","15381"
"National","eastern cape","Private Health","Male","8726","3943","12669"
"National","eastern cape","Public Health","Female","147728","57433","205161"
"National","eastern cape","Public Health","Male","121736","41343","163079"
"National","free state","Private Health","Female","9151","4608","13759"
"National","free state","Private Health","Male","7554","3556","11110"
"National","free state","Public Health","Female","83591","40752","124343"
"National","free state","Public Health","Male","71496","30683","102179"
"National","gauteng","Private Health","Female","53134","30270","83404"
"National","gauteng","Private Health","Male","48831","25989","74820"
"National","gauteng","Public Health","Female","161817","65843","227660"
"National","gauteng","Public Health","Male","127995","48439","176434"
"National","kwazulu-natal","Private Health","Female","16885","9591","26476"
"National","kwazulu-natal","Private Health","Male","15332","8221","23553"
"National","kwazulu-natal","Public Health","Female","157667","70803","228470"
"National","kwazulu-natal","Public Health","Male","107458","42897","150355"
"National","limpopo","Private Health","Female","11793","5222","17015"
"National","limpopo","Private Health","Male","9185","3666","12851"
"National","limpopo","Public Health","Female","144045","49950","193995"
"National","limpopo","Public Health","Male","124431","37347","161778"
"National","mpumalanga","Private Health","Female","3947","1707","5654"
"National","mpumalanga","Private Health","Male","3440","1523","4963"
"National","mpumalanga","Public Health","Female","76982","27351","104333"
"National","mpumalanga","Public Health","Male","63482","18923","82405"
"National","northern cape","Private Health","Female","2128","1047","3175"
"National","northern cape","Private Health","Male","1950","813","2763"
"National","northern cape","Public Health","Female","18108","7109","25217"
"National","northern cape","Public Health","Male","14215","5199","19414"
"National","north west","Private Health","Female","5169","2410","7579"
"National","north west","Private Health","Male","4677","2034","6711"
"National","north west","Public Health","Female","78275","28010","106285"
"National","north west","Public Health","Male","64888","20377","85265"
"National","western cape","Private Health","Female","23240","12677","35917"
"National","western cape","Private Health","Male","21012","10957","31969"
"National","western cape","Public Health","Female","47889","16269","64158"
"National","western cape","Public Health","Male","40048","13354","53402"
