"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","918492"
"Janssen Vaccines & Prevention B.V","free state","Adults","487516"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1549068"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1247102"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1080805"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","830636"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216182"
"Janssen Vaccines & Prevention B.V","north west","Adults","714221"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751746"
"Pfizer","eastern cape","12-17 Years","107779"
"Pfizer","eastern cape","Adults","1131638"
"Pfizer","free state","12-17 Years","79599"
"Pfizer","free state","Adults","595112"
"Pfizer","gauteng","12-17 Years","170541"
"Pfizer","gauteng","Adults","3396852"
"Pfizer","kwazulu-natal","12-17 Years","131512"
"Pfizer","kwazulu-natal","Adults","1656466"
"Pfizer","limpopo","12-17 Years","96185"
"Pfizer","limpopo","Adults","880613"
"Pfizer","mpumalanga","12-17 Years","49504"
"Pfizer","mpumalanga","Adults","475538"
"Pfizer","northern cape","12-17 Years","14168"
"Pfizer","northern cape","Adults","194397"
"Pfizer","north west","12-17 Years","52831"
"Pfizer","north west","Adults","540493"
"Pfizer","western cape","12-17 Years","53257"
"Pfizer","western cape","Adults","1865745"
