"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","20"
"eastern cape","Public Health","1391"
"free state","Private Health","30"
"free state","Public Health","321"
"gauteng","Private Health","337"
"gauteng","Public Health","1054"
"gauteng","","1"
"kwazulu-natal","Private Health","25"
"kwazulu-natal","Public Health","786"
"limpopo","Private Health","50"
"limpopo","Public Health","1048"
"mpumalanga","Private Health","9"
"mpumalanga","Public Health","606"
"northern cape","Private Health","19"
"northern cape","Public Health","128"
"north west","Private Health","31"
"north west","Public Health","230"
"western cape","Private Health","30"
"western cape","Public Health","366"
