"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538058"
"kwazulu-natal","Private Health","1237967"
"western cape","Private Health","1923930"
"limpopo","Private Health","611090"
"northern cape","Public Health","613478"
"gauteng","Private Health","4583781"
"kwazulu-natal","Public Health","4686973"
"mpumalanga","","19"
"free state","Public Health","1874138"
"north west","Public Health","1795617"
"gauteng","Public Health","5868654"
"mpumalanga","Private Health","406871"
"mpumalanga","Public Health","1947747"
"western cape","","2"
"northern cape","Private Health","158360"
"eastern cape","Private Health","695219"
"western cape","Public Health","3696097"
"limpopo","Public Health","3170927"
"free state","Private Health","401920"
"eastern cape","Public Health","3585849"
