"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","898580"
"Janssen Vaccines & Prevention B.V","free state","Adults","478201"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1497986"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1204282"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1059488"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","795066"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","210526"
"Janssen Vaccines & Prevention B.V","north west","Adults","701883"
"Janssen Vaccines & Prevention B.V","western cape","Adults","736779"
"Pfizer","eastern cape","12-17 Years","71669"
"Pfizer","eastern cape","Adults","1094044"
"Pfizer","free state","12-17 Years","67661"
"Pfizer","free state","Adults","574835"
"Pfizer","gauteng","12-17 Years","151513"
"Pfizer","gauteng","Adults","3311927"
"Pfizer","kwazulu-natal","12-17 Years","92192"
"Pfizer","kwazulu-natal","Adults","1589181"
"Pfizer","limpopo","12-17 Years","72609"
"Pfizer","limpopo","Adults","854967"
"Pfizer","mpumalanga","12-17 Years","36281"
"Pfizer","mpumalanga","Adults","454548"
"Pfizer","northern cape","12-17 Years","8618"
"Pfizer","northern cape","Adults","187243"
"Pfizer","north west","12-17 Years","45231"
"Pfizer","north west","Adults","525924"
"Pfizer","western cape","12-17 Years","49390"
"Pfizer","western cape","Adults","1834992"
