"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","520534"
"kwazulu-natal","Private Health","1199109"
"western cape","Private Health","1860338"
"limpopo","Private Health","579405"
"northern cape","Public Health","555962"
"gauteng","Private Health","4412679"
"kwazulu-natal","Public Health","4312810"
"free state","Public Health","1753366"
"north west","Public Health","1702342"
"gauteng","Public Health","5579370"
"mpumalanga","Private Health","388247"
"mpumalanga","Public Health","1761007"
"northern cape","Private Health","152214"
"eastern cape","Private Health","669798"
"western cape","Public Health","3569151"
"limpopo","Public Health","2941239"
"free state","Private Health","383230"
"eastern cape","Public Health","3276794"
