"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10674","4927","15601"
"National","eastern cape","Private Health","Male","8910","3763","12673"
"National","eastern cape","Public Health","Female","133062","37659","170721"
"National","eastern cape","Public Health","Male","107422","25320","132742"
"National","free state","Private Health","Female","9063","4169","13232"
"National","free state","Private Health","Male","7415","3188","10603"
"National","free state","Public Health","Female","80748","34809","115557"
"National","free state","Public Health","Male","68669","25495","94164"
"National","gauteng","Private Health","Female","54198","28998","83196"
"National","gauteng","Private Health","Male","49325","24622","73947"
"National","gauteng","Public Health","Female","153859","56649","210508"
"National","gauteng","Public Health","Male","121316","41244","162560"
"National","kwazulu-natal","Private Health","Female","17486","9469","26955"
"National","kwazulu-natal","Private Health","Male","15748","7981","23729"
"National","kwazulu-natal","Public Health","Female","133359","46793","180152"
"National","kwazulu-natal","Public Health","Male","90306","27949","118255"
"National","limpopo","Private Health","Female","11150","4580","15730"
"National","limpopo","Private Health","Male","8713","3285","11998"
"National","limpopo","Public Health","Female","123855","37207","161062"
"National","limpopo","Public Health","Male","104346","27537","131883"
"National","mpumalanga","Private Health","Female","4028","1634","5662"
"National","mpumalanga","Private Health","Male","3519","1404","4923"
"National","mpumalanga","Public Health","Female","69174","19374","88548"
"National","mpumalanga","Public Health","Male","57756","13869","71625"
"National","northern cape","Private Health","Female","2150","1003","3153"
"National","northern cape","Private Health","Male","1948","743","2691"
"National","northern cape","Public Health","Female","13855","3921","17776"
"National","northern cape","Public Health","Male","10910","2951","13861"
"National","north west","Private Health","Female","5265","2352","7617"
"National","north west","Private Health","Male","4751","1961","6712"
"National","north west","Public Health","Female","75921","23869","99790"
"National","north west","Public Health","Male","62464","17049","79513"
"National","western cape","Private Health","Female","23709","11878","35587"
"National","western cape","Private Health","Male","21168","10130","31298"
"National","western cape","Public Health","Female","46814","15096","61910"
"National","western cape","Public Health","Male","38796","12286","51082"
