"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","538121"
"kwazulu-natal","Private Health","1238051"
"western cape","Private Health","1923984"
"limpopo","Private Health","611167"
"northern cape","Public Health","613827"
"gauteng","Private Health","4584286"
"kwazulu-natal","Public Health","4688371"
"mpumalanga","","19"
"free state","Public Health","1874701"
"north west","Public Health","1796536"
"gauteng","Public Health","5871150"
"mpumalanga","Private Health","406873"
"mpumalanga","Public Health","1948990"
"western cape","","2"
"northern cape","Private Health","158385"
"eastern cape","Private Health","695241"
"western cape","Public Health","3697190"
"limpopo","Public Health","3172541"
"free state","Private Health","401950"
"eastern cape","Public Health","3588681"
