"province","health_sector","total_number_vaccines_administered"
"gauteng","","4"
"north west","Private Health","537561"
"kwazulu-natal","Private Health","1237488"
"western cape","Private Health","1923230"
"limpopo","Private Health","609998"
"northern cape","Public Health","610683"
"gauteng","Private Health","4579562"
"kwazulu-natal","Public Health","4675014"
"mpumalanga","","15"
"free state","Public Health","1869712"
"north west","Public Health","1790009"
"gauteng","Public Health","5851630"
"mpumalanga","Private Health","406686"
"mpumalanga","Public Health","1937845"
"northern cape","Private Health","158204"
"eastern cape","Private Health","694607"
"western cape","Public Health","3689002"
"limpopo","Public Health","3155679"
"free state","Private Health","401044"
"eastern cape","Public Health","3564944"
