"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","532317"
"kwazulu-natal","Private Health","1224325"
"western cape","Private Health","1901980"
"limpopo","Private Health","597024"
"northern cape","Public Health","590229"
"gauteng","Private Health","4518441"
"kwazulu-natal","Public Health","4554699"
"free state","Public Health","1827410"
"north west","Public Health","1765095"
"gauteng","Public Health","5760290"
"mpumalanga","Private Health","399491"
"mpumalanga","Public Health","1867704"
"northern cape","Private Health","156120"
"eastern cape","Private Health","685427"
"western cape","Public Health","3640928"
"limpopo","Public Health","3086488"
"free state","Private Health","395342"
"eastern cape","Public Health","3439970"
