"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","914131"
"Janssen Vaccines & Prevention B.V","free state","Adults","485678"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1535940"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1234316"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1076044"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","820401"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","214442"
"Janssen Vaccines & Prevention B.V","north west","Adults","711651"
"Janssen Vaccines & Prevention B.V","western cape","Adults","747981"
"Pfizer","eastern cape","12-17 Years","95388"
"Pfizer","eastern cape","Adults","1118786"
"Pfizer","free state","12-17 Years","77688"
"Pfizer","free state","Adults","588419"
"Pfizer","gauteng","12-17 Years","169810"
"Pfizer","gauteng","Adults","3373423"
"Pfizer","kwazulu-natal","12-17 Years","120858"
"Pfizer","kwazulu-natal","Adults","1636640"
"Pfizer","limpopo","12-17 Years","91720"
"Pfizer","limpopo","Adults","872997"
"Pfizer","mpumalanga","12-17 Years","46339"
"Pfizer","mpumalanga","Adults","468456"
"Pfizer","northern cape","12-17 Years","11676"
"Pfizer","northern cape","Adults","192182"
"Pfizer","north west","12-17 Years","52518"
"Pfizer","north west","Adults","536904"
"Pfizer","western cape","12-17 Years","52461"
"Pfizer","western cape","Adults","1856977"
