"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10523","5127","15650"
"National","eastern cape","Private Health","Male","8888","3966","12854"
"National","eastern cape","Public Health","Female","144136","50796","194932"
"National","eastern cape","Public Health","Male","118185","35499","153684"
"National","free state","Private Health","Female","9180","4595","13775"
"National","free state","Private Health","Male","7535","3490","11025"
"National","free state","Public Health","Female","83950","39824","123774"
"National","free state","Public Health","Male","71734","29779","101513"
"National","gauteng","Private Health","Female","53827","30226","84053"
"National","gauteng","Private Health","Male","49439","25861","75300"
"National","gauteng","Public Health","Female","163666","65645","229311"
"National","gauteng","Public Health","Male","129262","48078","177340"
"National","kwazulu-natal","Private Health","Female","17252","9700","26952"
"National","kwazulu-natal","Private Health","Male","15579","8249","23828"
"National","kwazulu-natal","Public Health","Female","156209","63968","220177"
"National","kwazulu-natal","Public Health","Male","106341","38941","145282"
"National","limpopo","Private Health","Female","11847","5162","17009"
"National","limpopo","Private Health","Male","9220","3604","12824"
"National","limpopo","Public Health","Female","141162","47440","188602"
"National","limpopo","Public Health","Male","122635","35514","158149"
"National","mpumalanga","Private Health","Female","4032","1722","5754"
"National","mpumalanga","Private Health","Male","3517","1503","5020"
"National","mpumalanga","Public Health","Female","75492","25394","100886"
"National","mpumalanga","Public Health","Male","62746","17720","80466"
"National","northern cape","Private Health","Female","2142","1064","3206"
"National","northern cape","Private Health","Male","1971","810","2781"
"National","northern cape","Public Health","Female","17075","5650","22725"
"National","northern cape","Public Health","Male","13368","4152","17520"
"National","north west","Private Health","Female","5272","2448","7720"
"National","north west","Private Health","Male","4757","2044","6801"
"National","north west","Public Health","Female","79093","27885","106978"
"National","north west","Public Health","Male","65489","20141","85630"
"National","western cape","Private Health","Female","23651","12674","36325"
"National","western cape","Private Health","Male","21291","10955","32246"
"National","western cape","Public Health","Female","47175","15853","63028"
"National","western cape","Public Health","Male","39357","12979","52336"
