"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","9"
"eastern cape","Public Health","524"
"free state","Private Health","2"
"free state","Public Health","91"
"gauteng","Private Health","241"
"gauteng","Public Health","744"
"kwazulu-natal","Private Health","1"
"kwazulu-natal","Public Health","351"
"limpopo","Private Health","20"
"limpopo","Public Health","186"
"mpumalanga","Private Health","2"
"mpumalanga","Public Health","210"
"northern cape","Public Health","50"
"north west","Private Health","54"
"north west","Public Health","239"
"western cape","Private Health","20"
"western cape","Public Health","306"
