"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","735"
"eastern cape","Public Health","4520"
"free state","Private Health","548"
"free state","Public Health","3075"
"gauteng","Private Health","5022"
"gauteng","Public Health","7112"
"kwazulu-natal","Private Health","948"
"kwazulu-natal","Public Health","4561"
"limpopo","Private Health","783"
"limpopo","Public Health","3877"
"mpumalanga","Private Health","398"
"mpumalanga","Public Health","3688"
"northern cape","Private Health","170"
"northern cape","Public Health","460"
"north west","Private Health","606"
"north west","Public Health","2605"
"western cape","Private Health","2084"
"western cape","Public Health","2443"
