"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","517"
"Janssen Vaccines & Prevention B.V","free state","Adults","422"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1171"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","650"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","442"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","837"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","101"
"Janssen Vaccines & Prevention B.V","north west","Adults","403"
"Janssen Vaccines & Prevention B.V","western cape","Adults","401"
"Pfizer","eastern cape","12-17 Years","696"
"Pfizer","eastern cape","Adults","620"
"Pfizer","free state","12-17 Years","398"
"Pfizer","free state","Adults","511"
"Pfizer","gauteng","12-17 Years","1091"
"Pfizer","gauteng","Adults","2901"
"Pfizer","kwazulu-natal","12-17 Years","613"
"Pfizer","kwazulu-natal","Adults","1212"
"Pfizer","limpopo","12-17 Years","494"
"Pfizer","limpopo","Adults","562"
"Pfizer","mpumalanga","12-17 Years","355"
"Pfizer","mpumalanga","Adults","363"
"Pfizer","northern cape","12-17 Years","14"
"Pfizer","northern cape","Adults","124"
"Pfizer","north west","12-17 Years","285"
"Pfizer","north west","Adults","415"
"Pfizer","western cape","12-17 Years","106"
"Pfizer","western cape","Adults","781"
