"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","883870"
"Janssen Vaccines & Prevention B.V","free state","Adults","470766"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1465821"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1181991"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1044365"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","776471"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","207768"
"Janssen Vaccines & Prevention B.V","north west","Adults","691030"
"Janssen Vaccines & Prevention B.V","western cape","Adults","727031"
"Pfizer","eastern cape","12-17 Years","45406"
"Pfizer","eastern cape","Adults","1075535"
"Pfizer","free state","12-17 Years","54037"
"Pfizer","free state","Adults","564215"
"Pfizer","gauteng","12-17 Years","125081"
"Pfizer","gauteng","Adults","3253267"
"Pfizer","kwazulu-natal","12-17 Years","61974"
"Pfizer","kwazulu-natal","Adults","1554843"
"Pfizer","limpopo","12-17 Years","57211"
"Pfizer","limpopo","Adults","839847"
"Pfizer","mpumalanga","12-17 Years","27164"
"Pfizer","mpumalanga","Adults","445353"
"Pfizer","northern cape","12-17 Years","7282"
"Pfizer","northern cape","Adults","184252"
"Pfizer","north west","12-17 Years","35100"
"Pfizer","north west","Adults","515050"
"Pfizer","western cape","12-17 Years","47025"
"Pfizer","western cape","Adults","1815416"
