"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","502901"
"kwazulu-natal","Private Health","1169677"
"western cape","Private Health","1809057"
"limpopo","Private Health","559911"
"northern cape","Public Health","534917"
"gauteng","Private Health","4290341"
"kwazulu-natal","Public Health","4127308"
"free state","Public Health","1679410"
"north west","Public Health","1634329"
"gauteng","Public Health","5398789"
"mpumalanga","Private Health","378614"
"mpumalanga","Public Health","1674556"
"northern cape","Private Health","147630"
"eastern cape","Private Health","651657"
"western cape","Public Health","3501838"
"limpopo","Public Health","2815603"
"free state","Private Health","369150"
"eastern cape","Public Health","3120754"
