"vaccine_manufacturer","province","age_group","total_number_first_doses_administered_last_24_hours","total_number_second_doses_administered_last_24_hours","total_number_booster_doses_administered_last_24_hours","total_number_doses_administered_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","113","0","152","265"
"Janssen Vaccines & Prevention B.V","free state","Adults","15","0","39","54"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","265","0","88","353"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","165","0","106","271"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","157","0","249","406"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","107","0","117","224"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","29","0","40","69"
"Janssen Vaccines & Prevention B.V","north west","Adults","25","0","21","46"
"Janssen Vaccines & Prevention B.V","western cape","Adults","87","0","41","128"
"Pfizer","eastern cape","12-17 Years","339","437","0","776"
"Pfizer","eastern cape","Adults","183","194","287","664"
"Pfizer","free state","12-17 Years","9","8","0","17"
"Pfizer","free state","Adults","35","42","74","151"
"Pfizer","gauteng","12-17 Years","94","16","0","110"
"Pfizer","gauteng","Adults","186","199","186","571"
"Pfizer","kwazulu-natal","12-17 Years","15","26","0","41"
"Pfizer","kwazulu-natal","Adults","149","139","120","408"
"Pfizer","limpopo","12-17 Years","116","165","0","281"
"Pfizer","limpopo","Adults","136","140","177","453"
"Pfizer","mpumalanga","12-17 Years","61","106","0","167"
"Pfizer","mpumalanga","Adults","95","62","45","202"
"Pfizer","northern cape","12-17 Years","0","2","0","2"
"Pfizer","northern cape","Adults","9","27","21","57"
"Pfizer","north west","12-17 Years","40","42","0","82"
"Pfizer","north west","Adults","17","20","24","61"
"Pfizer","western cape","12-17 Years","12","80","0","92"
"Pfizer","western cape","Adults","105","84","100","289"
