"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated_last_24_hours"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","113"
"Janssen Vaccines & Prevention B.V","free state","Adults","15"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","265"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","165"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","157"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","107"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","29"
"Janssen Vaccines & Prevention B.V","north west","Adults","25"
"Janssen Vaccines & Prevention B.V","western cape","Adults","87"
"Pfizer","eastern cape","12-17 Years","437"
"Pfizer","eastern cape","Adults","194"
"Pfizer","free state","12-17 Years","8"
"Pfizer","free state","Adults","42"
"Pfizer","gauteng","12-17 Years","16"
"Pfizer","gauteng","Adults","199"
"Pfizer","kwazulu-natal","12-17 Years","26"
"Pfizer","kwazulu-natal","Adults","139"
"Pfizer","limpopo","12-17 Years","165"
"Pfizer","limpopo","Adults","140"
"Pfizer","mpumalanga","12-17 Years","106"
"Pfizer","mpumalanga","Adults","62"
"Pfizer","northern cape","12-17 Years","2"
"Pfizer","northern cape","Adults","27"
"Pfizer","north west","12-17 Years","42"
"Pfizer","north west","Adults","20"
"Pfizer","western cape","12-17 Years","80"
"Pfizer","western cape","Adults","84"
