"province","health_sector","total_number_vaccines_administered_last_24_hours"
"eastern cape","Private Health","27"
"eastern cape","Public Health","1678"
"free state","Private Health","10"
"free state","Public Health","212"
"gauteng","Private Health","177"
"gauteng","Public Health","857"
"kwazulu-natal","Private Health","24"
"kwazulu-natal","Public Health","696"
"limpopo","Private Health","27"
"limpopo","Public Health","1113"
"mpumalanga","Public Health","593"
"northern cape","Private Health","13"
"northern cape","Public Health","115"
"north west","Private Health","29"
"north west","Public Health","160"
"western cape","Private Health","39"
"western cape","Public Health","470"
