"province","health_sector","total_number_vaccines_administered"
"north west","Private Health","535016"
"kwazulu-natal","Private Health","1232123"
"western cape","Private Health","1913266"
"limpopo","Private Health","603094"
"northern cape","Public Health","604269"
"gauteng","Private Health","4551232"
"kwazulu-natal","Public Health","4622597"
"free state","Public Health","1848731"
"north west","Public Health","1777716"
"gauteng","Public Health","5800238"
"mpumalanga","Private Health","404872"
"mpumalanga","Public Health","1906821"
"northern cape","Private Health","157062"
"eastern cape","Private Health","690454"
"western cape","Public Health","3662162"
"limpopo","Public Health","3115875"
"free state","Private Health","398470"
"eastern cape","Public Health","3494868"
