"vaccine_manufacturer","province","age_group","total_number_fully_vaccinated"
"Janssen Vaccines & Prevention B.V","eastern cape","Adults","917851"
"Janssen Vaccines & Prevention B.V","free state","Adults","487347"
"Janssen Vaccines & Prevention B.V","gauteng","Adults","1547307"
"Janssen Vaccines & Prevention B.V","kwazulu-natal","Adults","1245797"
"Janssen Vaccines & Prevention B.V","limpopo","Adults","1079968"
"Janssen Vaccines & Prevention B.V","mpumalanga","Adults","829799"
"Janssen Vaccines & Prevention B.V","northern cape","Adults","216066"
"Janssen Vaccines & Prevention B.V","north west","Adults","713881"
"Janssen Vaccines & Prevention B.V","western cape","Adults","751190"
"Pfizer","eastern cape","12-17 Years","104851"
"Pfizer","eastern cape","Adults","1129757"
"Pfizer","free state","12-17 Years","79321"
"Pfizer","free state","Adults","594252"
"Pfizer","gauteng","12-17 Years","170435"
"Pfizer","gauteng","Adults","3393878"
"Pfizer","kwazulu-natal","12-17 Years","129854"
"Pfizer","kwazulu-natal","Adults","1653630"
"Pfizer","limpopo","12-17 Years","94904"
"Pfizer","limpopo","Adults","879245"
"Pfizer","mpumalanga","12-17 Years","48866"
"Pfizer","mpumalanga","Adults","474787"
"Pfizer","northern cape","12-17 Years","13984"
"Pfizer","northern cape","Adults","194170"
"Pfizer","north west","12-17 Years","52763"
"Pfizer","north west","Adults","540095"
"Pfizer","western cape","12-17 Years","53024"
"Pfizer","western cape","Adults","1864658"
