"province","vaccine_manufacturer","total_number_individuals_vaccinated"
"eastern cape","Johnson & Johnson","899783"
"eastern cape","Pfizer","1311943"
"free state","Johnson & Johnson","478768"
"free state","Pfizer","659750"
"gauteng","Johnson & Johnson","1501108"
"gauteng","Pfizer","3845690"
"kwazulu-natal","Johnson & Johnson","1207508"
"kwazulu-natal","Pfizer","1928038"
"limpopo","Johnson & Johnson","1060738"
"limpopo","Pfizer","1021081"
"mpumalanga","Johnson & Johnson","796902"
"mpumalanga","Pfizer","556097"
"northern cape","Johnson & Johnson","210787"
"northern cape","Pfizer","219841"
"north west","Johnson & Johnson","702723"
"north west","Pfizer","610082"
"western cape","Johnson & Johnson","737572"
"western cape","Pfizer","2097219"
