"vaccine_rollout_phase","province","healthsector","sex","total_number_first_doses_administered","total_number_second_doses_administered","total_number_vaccines_administered"
"National","eastern cape","Private Health","Female","10673","4969","15642"
"National","eastern cape","Private Health","Male","8917","3796","12713"
"National","eastern cape","Public Health","Female","134965","39461","174426"
"National","eastern cape","Public Health","Male","109186","26619","135805"
"National","free state","Private Health","Female","9074","4180","13254"
"National","free state","Private Health","Male","7429","3214","10643"
"National","free state","Public Health","Female","81236","35462","116698"
"National","free state","Public Health","Male","69065","26003","95068"
"National","gauteng","Private Health","Female","54191","29154","83345"
"National","gauteng","Private Health","Male","49358","24760","74118"
"National","gauteng","Public Health","Female","155270","57885","213155"
"National","gauteng","Public Health","Male","122280","42160","164440"
"National","kwazulu-natal","Private Health","Female","17483","9512","26995"
"National","kwazulu-natal","Private Health","Male","15742","8016","23758"
"National","kwazulu-natal","Public Health","Female","136864","48937","185801"
"National","kwazulu-natal","Public Health","Male","92502","29141","121643"
"National","limpopo","Private Health","Female","11181","4618","15799"
"National","limpopo","Private Health","Male","8741","3308","12049"
"National","limpopo","Public Health","Female","125187","38079","163266"
"National","limpopo","Public Health","Male","105634","28145","133779"
"National","mpumalanga","Private Health","Female","4028","1646","5674"
"National","mpumalanga","Private Health","Male","3515","1419","4934"
"National","mpumalanga","Public Health","Female","70155","19815","89970"
"National","mpumalanga","Public Health","Male","58437","14188","72625"
"National","northern cape","Private Health","Female","2151","1007","3158"
"National","northern cape","Private Health","Male","1950","749","2699"
"National","northern cape","Public Health","Female","14310","4019","18329"
"National","northern cape","Public Health","Male","11275","2991","14266"
"National","north west","Private Health","Female","5284","2370","7654"
"National","north west","Private Health","Male","4762","1977","6739"
"National","north west","Public Health","Female","76478","24426","100904"
"National","north west","Public Health","Male","62906","17398","80304"
"National","western cape","Private Health","Female","23700","11961","35661"
"National","western cape","Private Health","Male","21181","10211","31392"
"National","western cape","Public Health","Female","46851","15190","62041"
"National","western cape","Public Health","Male","38833","12350","51183"
